Dumbbell Pullover|strength_db_pullover
Dumbbell Single Arm Reverse Fly|strength_db_reverse_fly
Dumbbell Split Squat|strength_db_split_squat
Dumbbell Step-Up Onto Chair|strength_db_step_up
Dumbbell Bulgarian Split Squat|strength_db_bulgarian_split_squat
Dumbbell Hip Hinge|strength_db_hip_hinge
Dumbbell Upright Row|strength_db_upright_row
Dumbbell Side Boat Hold|strength_db_side_boat_hold
Dumbbell Triceps Extension|strength_db_triceps_extension
Dumbbell Side Lateral Raise|strength_db_side_lateral_raise
Dumbbell Front Raise|strength_db_front_raise
Dumbbell Chest Fly|strength_db_chest_fly
Dumbbell Curtsy Lunges|strength_db_curtsy_lunges
Dumbbell Squats|strength_db_squats
Dumbbell Side Lunges|strength_db_side_lunges
Dumbbell Squat Clean and Press|strength_db_squat_clean_press
Dumbbell Right Arm Triceps Kickback|strength_db_triceps_kickback
Dumbbell Bicep Curl to Press|strength_db_bicep_curl_press
Dumbbell Single Arm Otis Up|strength_db_single_arm_otis_up
Dumbbell Fly to Close Grip Press|strength_db_fly_close_grip_press
Dumbbell Boat Hold|strength_db_boat_hold
Dumbbell Reverse Curl|strength_db_reverse_curl
Dumbbell Lying Triceps Extension|strength_db_lying_triceps_ext
Dumbbell Wide Bicep Curls|strength_db_wide_bicep_curls
Dumbbell Punch|strength_db_punch
Dumbbell Cuban Rotation|strength_db_cuban_rotation
Dumbbell Shrug|strength_db_shrug
Dumbbell Rear Delt Row|strength_db_rear_delt_row
Dumbbell Reverse Crunches|strength_db_reverse_crunches
Dumbbell Toe-Touch Crunch|strength_db_toe_touch_crunch
Dumbbell Seated In & Outs|strength_db_seated_in_outs
Dumbbell Drag Curls|strength_db_drag_curls
Dumbbell Paddle Boats|strength_db_paddle_boats
Dumbbell V-Up|strength_db_v_up
Dumbbell Up-N-Overs|strength_db_up_n_overs
Dumbbell Crunches|strength_db_crunches
Dumbbell Standing Hip Abduction|strength_db_standing_hip_abd
Dumbbell Russian Twist|strength_db_russian_twist
Dumbbell Crunch and Punches|strength_db_crunch_punches
Dumbbell Plank Rotation|strength_db_plank_rotation
Dumbbell Torture Tucks|strength_db_torture_tucks
