strength_db_pullover|Dumbbell Pullover
strength_db_reverse_fly|Dumbbell Single Arm Reverse Fly
strength_db_split_squat|Dumbbell Split Squat
strength_db_step_up|Dumbbell Step-Up Onto Chair
strength_db_bulgarian_split_squat|Dumbbell Bulgarian Split Squat
strength_db_hip_hinge|Dumbbell Hip Hinge
strength_db_upright_row|Dumbbell Upright Row
strength_db_side_boat_hold|Dumbbell Side Boat Hold
strength_db_triceps_extension|Dumbbell Triceps Extension
strength_db_side_lateral_raise|Dumbbell Side Lateral Raise
strength_db_front_raise|Dumbbell Front Raise
strength_db_chest_fly|Dumbbell Chest Fly
strength_db_curtsy_lunges|Dumbbell Curtsy Lunges
strength_db_squats|Dumbbell Squats
strength_db_side_lunges|Dumbbell Side Lunges
strength_db_squat_clean_press|Dumbbell Squat Clean and Press
strength_db_triceps_kickback|Dumbbell Right Arm Triceps Kickback
strength_db_bicep_curl_press|Dumbbell Bicep Curl to Press
strength_db_single_arm_otis_up|Dumbbell Single Arm Otis Up
strength_db_fly_close_grip_press|Dumbbell Fly to Close Grip Press
strength_db_boat_hold|Dumbbell Boat Hold
strength_db_reverse_curl|Dumbbell Reverse Curl
strength_db_lying_triceps_ext|Dumbbell Lying Triceps Extension
strength_db_wide_bicep_curls|Dumbbell Wide Bicep Curls
strength_db_punch|Dumbbell Punch
strength_db_cuban_rotation|Dumbbell Cuban Rotation
strength_db_shrug|Dumbbell Shrug
strength_db_rear_delt_row|Dumbbell Rear Delt Row
strength_db_reverse_crunches|Dumbbell Reverse Crunches
strength_db_toe_touch_crunch|Dumbbell Toe-Touch Crunch
strength_db_seated_in_outs|Dumbbell Seated In & Outs
strength_db_drag_curls|Dumbbell Drag Curls
strength_db_paddle_boats|Dumbbell Paddle Boats
strength_db_v_up|Dumbbell V-Up
strength_db_up_n_overs|Dumbbell Up-N-Overs
strength_db_crunches|Dumbbell Crunches
strength_db_standing_hip_abd|Dumbbell Standing Hip Abduction
strength_db_russian_twist|Dumbbell Russian Twist
strength_db_crunch_punches|Dumbbell Crunch and Punches
strength_db_plank_rotation|Dumbbell Plank Rotation
strength_db_torture_tucks|Dumbbell Torture Tucks
strength_db_bent_leg_twist|Dumbbell Bent Leg Twist
strength_db_bicycle_passes|Dumbbell Bicycle Passes
strength_db_butt_bridge|Dumbbell Butt Bridge
strength_db_donkey_kicks|Dumbbell Donkey Kicks
strength_db_fire_hydrant|Dumbbell Fire Hydrant
strength_db_hamstring_curl|Dumbbell Hamstring Curl
strength_db_single_leg_dl|Dumbbell Single Leg Deadlift
strength_db_close_grip_bench|Dumbbell Close Grip Bench Press
strength_db_backward_lunge|Dumbbell Backward Lunge
strength_db_swing|Dumbbell Swing
strength_db_hip_thrust|Dumbbell Hip Thrust
strength_db_single_leg_hip_thrust|Dumbbell Single Leg Hip Thrust
strength_db_jumping_lunge|Dumbbell Jumping Lunge
strength_db_hip_bridge_leg_lift|Dumbbell Hip Bridge & Leg Lift
strength_db_woodchop|Dumbbell Woodchop
strength_db_jumping_squat|Dumbbell Jumping Squat
strength_db_plie_squats|Dumbbell Plie Squats
strength_db_decline_floor_press|Dumbbell Decline Floor Press
strength_db_kickbacks|Dumbbell Kickbacks
strength_db_cross_hammer_curl|Cross Body Hammer Curl
strength_db_alt_hammer_curl|Alternate Hammer Curl
strength_db_bent_over_row|Bent Over Row
strength_db_standing_curl|Standing Dumbbell Curl
strength_db_standing_fly|Standing Dumbbell Chest Fly
strength_db_leaning_calf_raise|Leaning Dumbbell One Leg Calf Raise
strength_bw_valley_press|Valley Press
strength_bw_wall_push_ups|Wall Push-Ups
strength_bw_wide_push_ups|Wide Arm Push-Ups
strength_bw_wall_sit|Wall Sit
strength_bw_wall_calf_raises|Wall Calf Raises
strength_bw_supine_push_up|Supine Push-Up
strength_bw_staggered_push_ups|Staggered Push-Ups
strength_bw_side_hop|Side Hop
strength_bw_side_arm_raise|Side Arm Raise
strength_bw_standing_bicycle|Standing Bicycle Crunches
strength_bw_sit_ups|Sit-Ups
strength_bw_squats|Squats
strength_bw_side_plank|Side Plank
strength_bw_push_up_row|Push-Up Row
strength_bw_plank_jacks|Plank Jacks
strength_bw_prone_flutter|Prone Flutter Kicks
strength_bw_quick_feet|Quick Feet
strength_bw_reverse_crunches|Reverse Crunches
strength_bw_russian_twist|Russian Twist
strength_bw_reverse_flutter|Reverse Flutter Kicks
strength_bw_reverse_push_ups|Reverse Push-Ups
strength_bw_reclined_twist|Reclined Oblique Twist
strength_bw_offset_push_ups|Offset Push-Ups
strength_bw_plank|Plank
strength_bw_push_ups|Push-Ups
strength_bw_push_up_rotation|Push-Up & Rotation
strength_bw_prone_triceps_push|Prone Triceps Push-Ups
strength_bw_pike_push_ups|Pike Push-Ups
strength_bw_mountain_climber|Mountain Climber
strength_bw_modified_push_up_hold|Modified Push-Up Low Hold
strength_bw_military_push_ups|Military Push-Ups
strength_bw_modified_burpees|Modified Burpees
strength_bw_leg_raises|Leg Raises
strength_bw_lunges|Lunges
strength_bw_jumping_jacks|Jumping Jacks
strength_bw_jumping_squats|Jumping Squats
strength_bw_knee_push_ups|Knee Push-Ups
strength_bw_knee_chest_stretch|Knee to Chest Stretch
strength_bw_knee_elbow_crunches|Knee to Elbow Crunches
strength_bw_high_stepping|High Stepping
strength_bw_hindu_push_ups|Hindu Push-Ups
strength_bw_heel_touch|Heel Touch
strength_bw_hyperextension|Hyperextension
strength_bw_hover_push_up|Hover Push-Up
strength_bw_hip_hinge|Hip Hinge
strength_bw_incline_push_ups|Incline Push-Ups
strength_bw_inchworms|Inchworms
strength_bw_floor_y_raises|Floor Y Raises
strength_bw_frog_press|Frog Press
strength_bw_glute_kick_back|Glute Kick Back
strength_bw_floor_tricep_dips|Floor Tricep Dips
strength_bw_flutter_kicks|Flutter Kicks
strength_bw_forward_bend|Forward Bend
strength_bw_butt_kicks|Butt Kicks
strength_bw_bench_glute_kick|Bench Glute Kick Back
strength_bw_back_bow_pulls|Back Bow Pulls
strength_bw_chest_press_pulse|Chest Press Pulse
strength_bw_crossover_crunch|Crossover Crunch
strength_bw_cross_touch_reach|Cross Touch and Reach
strength_bw_cat_cow|Cat Cow Pose
strength_bw_diagonal_plank|Diagonal Plank
strength_bw_dynamic_chest|Dynamic Chest
strength_bw_calf_raise_splayed|Calf Raise with Splayed Foot
strength_bw_claps_overhead|Claps Over Head
strength_bw_diamond_push_ups|Diamond Push-Ups
strength_bw_decline_push_ups|Decline Push-Ups
strength_bw_burpees|Burpees
strength_bw_box_push_ups|Box Push-Ups
strength_bw_bottom_leg_lift|Bottom Leg Lift
strength_bw_abs_crunches|Abdominal Crunches
strength_bw_arm_swings_lat|Arm Swings with Lateral Steps
strength_bw_arm_scissors|Arm Scissors
strength_bw_alt_hooks|Alternating Hooks
strength_bw_alt_renegade_row|Alternating Renegade Row
strength_bw_side_bridges|Side Bridges
strength_bw_side_lying_lift|Side-Lying Leg Lift
strength_bw_side_leg_circles|Side Leg Circles
strength_bw_standing_glute_kick|Standing Glute Kickbacks
strength_bw_side_bend|Side Bend
strength_bw_sumo_squat|Sumo Squat
strength_bw_single_leg_hop|Single Leg Calf Hop
strength_bw_sumo_calf_raises|Sumo Squat Calf Raises with Wall
mobility_arm_behind_head|Arm Behind Head
mobility_arm_cross_front|Arm Cross Front
mobility_arm_flutters|Arm Flutters
mobility_arm_rot_both|Arm Rotation Both
mobility_arm_rot_left|Arm Rotation Left
mobility_arm_rot_right|Arm Rotation Right
mobility_head_roll|Head Roll
mobility_heel_lifts|Heel Lifts
mobility_hip_circles|Hip Circles
mobility_knee_circles|Knee Circles
mobility_one_leg_bal|One Leg Balance
mobility_reach_touch|Reach High, Touch Ground
